Year,Male Reading Mean / (S.D.),Male Reading % at or above NMS,Female Reading Mean / (S.D.),Female Reading % at or above NMS,Male Writing Mean / (S.D.),Male Writing % at or above NMS,Female Writing Mean / (S.D.),Female Writing % at or above NMS
2008,531.9 (69.9),92.8,541.4 (66.1),95.6,517.8,88.6,550.3,95.3
2009,532.7 (69.6),92.1,549.9 (66.6),95.9,516.7 (73.0),89.4,548.9 (69.2),95.8
2010,540.9 (69.7),93.5,551.5 (66.7),96.3,517.5 (73.6),89.4,550.2 (68.3),96
2011,534.9 (68.3),93.4,545.6 (66.2),96,512.6 (76.0),87.5,546.3 (71.6),95
2012,535.3 (69.4),92.5,548.0 (66.5),95.8,501.1 (74.9),85.7,536.2 (70.6),94.4
2013,536.3 (68.1),92.8,545.0 (64.1),95.7,499.9 (78.1),84.7,534.8 (69.7),94.1
2014,540.8 (70.3),93.5,551.7 (67.1),96.3,495.6 (76.8),84,528.5 (70.0),93.2
2015,541.4 (68.9),94.2,550.7 (65.2),96.7,494.3 (77.8),82.5,527.6 (70.2),92.4
2016,536.4 (68.6),93.3,545.5 (66.2),95.9,499.8 (71.0),85.6,531.0 (66.5),94
2017,538.1 (71.1),92.2,551.7 (66.8),95.8,496.8 (77.8),83.1,529.7 (70.2),92.9
2018,536.7 (69.6),92.5,547.9 (65.2),95.9,490.8 (76.0),82,520.4 (68.6),92
2019,540.2 (69.3),92.9,552.6 (64.7),96.3,498.3 (71.9),85.1,528.9 (66.5),93.8
2021,535.5 (70.1),91.8,549.4 (64.8),95.8,507.6 (75.6),85.9,536.9 (69.4),93.8
2022,536.3 (68.0),92.3,549.0 (62.7),96.2,515.9 (76.9),87.1,544.2 (71.3),94.3
